"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"No checking account",12,"Existing credits paid back duly till now","Car (used)",1413,">= 1000 DM","4 to < 7 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",55,"None","Own","1","Skilled employee / official","0 to 2","None","No","Good",0
"No checking account",9,"Critical account / other credits existing","Radio / television",3074,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Real estate",33,"None","Own","2 to 3","Skilled employee / official","3 or more","None","Yes","Good",0
"No checking account",36,"Existing credits paid back duly till now","Radio / television",3835,"Unknown / no savings account",">= 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Real estate",45,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
"< 0 DM",27,"No credits taken / all credits paid back duly","Business",5293,"< 100 DM","Unemployed","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",50,"Stores","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",30,"Delay in paying off in the past","Business",1908,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",66,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",36,"Critical account / other credits existing","Radio / television",3342,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",51,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",6,"Critical account / other credits existing","Retraining",932,"Unknown / no savings account","4 to < 7 years",">= 35% of disposable income","Female divorced/separated/married","None","4 to < 7 years","Building society savings / life insurance",39,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",18,"No credits taken / all credits paid back duly","Business",3104,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","< 1 year","Building society savings / life insurance",31,"Bank","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",36,"Existing credits paid back duly till now","Radio / television",3913,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",23,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",3021,"< 100 DM","1 to < 4 years","25% to < 35%","Male divorced/separated","None","1 to < 4 years","Real estate",24,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",10,"Existing credits paid back duly till now","Car (new)",1364,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",64,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",625,"< 100 DM","< 1 year","< 20%","Male married/widowed","Guarantor","< 1 year","Real estate",26,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Education",1200,"Unknown / no savings account","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",23,"Bank","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",707,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Real estate",30,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Delay in paying off in the past","Business",2978,"Unknown / no savings account","1 to < 4 years","< 20%","Male single","None",">= 7 years","Real estate",32,"None","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",15,"Existing credits paid back duly till now","Car (used)",4657,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",30,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",36,"No credits taken / all credits paid back duly","Repairs",2613,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Radio / television",10961,">= 1000 DM","4 to < 7 years",">= 35% of disposable income","Male single","Co-applicant","1 to < 4 years","Unknown / no property",27,"Bank","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",7865,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",53,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",9,"Existing credits paid back duly till now","Radio / television",1478,"< 100 DM","4 to < 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",3149,"< 100 DM","< 1 year","< 20%","Male single","None","< 1 year","Unknown / no property",22,"Bank","For free","1","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",36,"Existing credits paid back duly till now","Radio / television",4210,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",26,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",9,"Existing credits paid back duly till now","Car (new)",2507,"500 to < 1000 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",51,"None","For free","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",2141,"100 to < 500 DM","4 to < 7 years","20% to < 25%","Male single","None","< 1 year","Unknown / no property",35,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Radio / television",866,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","Guarantor","1 to < 4 years","Real estate",25,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",4,"Critical account / other credits existing","Radio / television",1544,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Real estate",42,"None","Own","4 to 5","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Radio / television",1823,"< 100 DM","Unemployed","< 20%","Male single","None","1 to < 4 years","Car or other property",30,"Stores","Own","1","Manager / self-employed / highly qualified","3 or more","None","Yes","Bad",1
"0 to < 200 DM",6,"Existing credits paid back duly till now","Car (new)",14555,"Unknown / no savings account","Unemployed",">= 35% of disposable income","Male single","None","1 to < 4 years","Building society savings / life insurance",23,"None","Own","1","Unemployed / unskilled non-resident","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",21,"Existing credits paid back duly till now","Business",2767,"100 to < 500 DM",">= 7 years","< 20%","Male divorced/separated","None","1 to < 4 years","Car or other property",61,"Bank","Rent","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Radio / television",1291,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",35,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",30,"Existing credits paid back duly till now","Radio / television",2522,"< 100 DM",">= 7 years",">= 35% of disposable income","Male single","Guarantor","4 to < 7 years","Building society savings / life insurance",39,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Car (new)",915,"Unknown / no savings account",">= 7 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",29,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",6,"Existing credits paid back duly till now","Radio / television",1595,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",51,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",48,"No credits taken / all credits paid back duly","Car (used)",4605,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",24,"None","For free","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Business",1185,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Real estate",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",12,"All credits at this bank paid back duly","Retraining",3447,"500 to < 1000 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Real estate",35,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Business",1258,"< 100 DM","4 to < 7 years","< 20%","Male single","None","< 1 year","Real estate",25,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Radio / television",717,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",52,"None","Own","4 to 5","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",6,"No credits taken / all credits paid back duly","Car (new)",1204,"100 to < 500 DM","1 to < 4 years","< 20%","Male single","None","< 1 year","Unknown / no property",35,"Bank","Rent","1","Skilled employee / official","0 to 2","None","No","Good",0
">= 200 DM / salary assignments for at least 1 year",24,"Existing credits paid back duly till now","Furniture / equipment",1925,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",26,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Radio / television",433,"< 100 DM","Unemployed","20% to < 25%","Female divorced/separated/married","Co-applicant",">= 7 years","Real estate",22,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",6,"Critical account / other credits existing","Car (new)",666,">= 1000 DM","4 to < 7 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Real estate",39,"None","Own","2 to 3","Unskilled resident","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Existing credits paid back duly till now","Furniture / equipment",2251,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Car or other property",46,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",30,"Existing credits paid back duly till now","Car (new)",2150,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Guarantor","1 to < 4 years","Unknown / no property",24,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Delay in paying off in the past","Furniture / equipment",4151,"100 to < 500 DM","1 to < 4 years","25% to < 35%","Male single","None","4 to < 7 years","Building society savings / life insurance",35,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Furniture / equipment",2030,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Car or other property",24,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",60,"Delay in paying off in the past","Radio / television",7418,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Male single","None","< 1 year","Real estate",27,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",24,"Critical account / other credits existing","Radio / television",2684,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Real estate",35,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",12,"All credits at this bank paid back duly","Radio / television",2149,"< 100 DM","1 to < 4 years","< 20%","Male divorced/separated","None","< 1 year","Unknown / no property",29,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",15,"Existing credits paid back duly till now","Car (used)",3812,"100 to < 500 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Car or other property",23,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",11,"Critical account / other credits existing","Radio / television",1154,"100 to < 500 DM","Unemployed","< 20%","Female divorced/separated/married","None",">= 7 years","Real estate",57,"None","Own","4 to 5","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",1657,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",27,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Radio / television",1603,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",55,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"Critical account / other credits existing","Car (new)",5302,"< 100 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",36,"None","For free","4 to 5","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Education",2748,"< 100 DM",">= 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",57,"Bank","For free","4 to 5","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",10,"Critical account / other credits existing","Car (new)",1231,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Real estate",32,"None","Own","2 to 3","Unskilled resident","3 or more","None","No","Good",0
"0 to < 200 DM",15,"Existing credits paid back duly till now","Radio / television",802,"< 100 DM",">= 7 years","< 20%","Male single","None","4 to < 7 years","Car or other property",37,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Bad",1
"No checking account",36,"Critical account / other credits existing","Business",6304,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",36,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",1533,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",38,"Stores","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",14,"Existing credits paid back duly till now","Car (new)",8978,"< 100 DM",">= 7 years",">= 35% of disposable income","Male divorced/separated","None",">= 7 years","Building society savings / life insurance",45,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","No","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Radio / television",999,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",25,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Car (new)",2662,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Building society savings / life insurance",32,"None","Own","1","Skilled employee / official","0 to 2","None","No","Good",0
"No checking account",12,"Critical account / other credits existing","Furniture / equipment",1402,"500 to < 1000 DM","4 to < 7 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Car or other property",37,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",48,"All credits at this bank paid back duly","Car (new)",12169,"Unknown / no savings account","Unemployed","< 20%","Male single","Co-applicant",">= 7 years","Unknown / no property",36,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Radio / television",3060,"< 100 DM","4 to < 7 years","< 20%","Male single","None",">= 7 years","Real estate",28,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",30,"Existing credits paid back duly till now","Repairs",11998,"< 100 DM","< 1 year",">= 35% of disposable income","Male divorced/separated","None","< 1 year","Unknown / no property",34,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"No checking account",9,"Existing credits paid back duly till now","Radio / television",2697,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Real estate",32,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"No checking account",18,"Critical account / other credits existing","Radio / television",2404,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",26,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",1262,"Unknown / no savings account",">= 7 years","25% to < 35%","Male divorced/separated","None",">= 7 years","Building society savings / life insurance",49,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
"No checking account",6,"Existing credits paid back duly till now","Furniture / equipment",4611,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",32,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Radio / television",1901,"100 to < 500 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Car or other property",29,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Car (used)",3368,">= 1000 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",23,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Furniture / equipment",1574,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Real estate",50,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",18,"All credits at this bank paid back duly","Radio / television",1445,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None",">= 7 years","Car or other property",49,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",15,"Critical account / other credits existing","Furniture / equipment",1520,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",63,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Critical account / other credits existing","Car (new)",3878,"100 to < 500 DM","< 1 year","< 20%","Male divorced/separated","None","1 to < 4 years","Car or other property",37,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",47,"Existing credits paid back duly till now","Car (new)",10722,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Real estate",35,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
"< 0 DM",48,"Existing credits paid back duly till now","Car (used)",4788,"< 100 DM","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Building society savings / life insurance",26,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"0 to < 200 DM",48,"Delay in paying off in the past","Others",7582,"100 to < 500 DM","Unemployed","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",31,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",1092,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Guarantor",">= 7 years","Real estate",49,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",24,"Delay in paying off in the past","Radio / television",1024,"< 100 DM","< 1 year","< 20%","Male married/widowed","None",">= 7 years","Real estate",48,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Business",1076,"< 100 DM","1 to < 4 years","25% to < 35%","Male married/widowed","None","1 to < 4 years","Real estate",26,"None","Own","1","Skilled employee / official","0 to 2","Yes","No","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Car (used)",9398,"< 100 DM","< 1 year",">= 35% of disposable income","Male married/widowed","None",">= 7 years","Car or other property",28,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"< 0 DM",24,"Critical account / other credits existing","Car (used)",6419,"< 100 DM",">= 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",44,"None","For free","2 to 3","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",42,"Critical account / other credits existing","Car (used)",4796,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",56,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",48,"Critical account / other credits existing","Business",7629,"Unknown / no savings account",">= 7 years","< 20%","Male divorced/separated","None","1 to < 4 years","Car or other property",46,"Bank","Own","2 to 3","Manager / self-employed / highly qualified","3 or more","None","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Furniture / equipment",9960,"< 100 DM","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Car or other property",26,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Car (used)",4675,"Unknown / no savings account","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Car or other property",20,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",10,"Existing credits paid back duly till now","Car (new)",1287,"Unknown / no savings account",">= 7 years","< 20%","Male single","Co-applicant","1 to < 4 years","Building society savings / life insurance",45,"None","Own","1","Unskilled resident","0 to 2","None","No","Good",0
"No checking account",18,"Existing credits paid back duly till now","Furniture / equipment",2515,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None",">= 7 years","Real estate",43,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",21,"Critical account / other credits existing","Furniture / equipment",2745,">= 1000 DM","4 to < 7 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",32,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",6,"Existing credits paid back duly till now","Car (new)",672,"< 100 DM","Unemployed",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Real estate",54,"None","Own","1","Unemployed / unskilled non-resident","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",36,"No credits taken / all credits paid back duly","Radio / television",3804,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","< 1 year","Car or other property",42,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",24,"Critical account / other credits existing","Car (new)",1344,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None","1 to < 4 years","Real estate",37,"Bank","Own","2 to 3","Unskilled resident","3 or more","None","Yes","Bad",1
"< 0 DM",10,"Critical account / other credits existing","Car (new)",1038,"< 100 DM","4 to < 7 years","< 20%","Male single","Co-applicant","4 to < 7 years","Building society savings / life insurance",49,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",48,"Critical account / other credits existing","Car (new)",10127,"500 to < 1000 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Unknown / no property",44,"Bank","For free","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",6,"Existing credits paid back duly till now","Furniture / equipment",1543,">= 1000 DM","1 to < 4 years","< 20%","Male divorced/separated","None","1 to < 4 years","Real estate",33,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",30,"Existing credits paid back duly till now","Car (used)",4811,"Unknown / no savings account","4 to < 7 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",24,"Stores","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Radio / television",727,"100 to < 500 DM","< 1 year","< 20%","Male married/widowed","None","4 to < 7 years","Unknown / no property",33,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",8,"Existing credits paid back duly till now","Furniture / equipment",1237,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Real estate",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",9,"Existing credits paid back duly till now","Car (new)",276,"< 100 DM","1 to < 4 years","< 20%","Male married/widowed","None",">= 7 years","Real estate",22,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Others",5381,"Unknown / no savings account","Unemployed","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",40,"Bank","For free","1","Unemployed / unskilled non-resident","0 to 2","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Furniture / equipment",5511,"100 to < 500 DM","1 to < 4 years","< 20%","Male single","None","< 1 year","Car or other property",25,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",24,"Existing credits paid back duly till now","Furniture / equipment",3749,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",26,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",685,"< 100 DM","4 to < 7 years","25% to < 35%","Male married/widowed","None","4 to < 7 years","Car or other property",25,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",4,"Existing credits paid back duly till now","Car (new)",1494,"Unknown / no savings account","< 1 year",">= 35% of disposable income","Male single","None","1 to < 4 years","Real estate",29,"None","Own","1","Unskilled resident","3 or more","None","No","Good",0
"< 0 DM",36,"All credits at this bank paid back duly","Furniture / equipment",2746,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",31,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",12,"Existing credits paid back duly till now","Furniture / equipment",708,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","Guarantor","4 to < 7 years","Building society savings / life insurance",38,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"0 to < 200 DM",24,"Existing credits paid back duly till now","Furniture / equipment",4351,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",48,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Education",701,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",32,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",15,"Delay in paying off in the past","Furniture / equipment",3643,"< 100 DM",">= 7 years",">= 35% of disposable income","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",27,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",30,"Critical account / other credits existing","Car (new)",4249,"< 100 DM","Unemployed","< 20%","Male married/widowed","None","1 to < 4 years","Car or other property",28,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Radio / television",1938,"< 100 DM","< 1 year","< 20%","Male divorced/separated","None","4 to < 7 years","Building society savings / life insurance",32,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Car (used)",2910,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","< 1 year","Unknown / no property",34,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"< 0 DM",18,"Existing credits paid back duly till now","Furniture / equipment",2659,">= 1000 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
